Prozess,Teil,Prozesszeit_s,PZ_Durchmesser_mm,Zykluszeit_s,Bearbeitungszeit_s,Ruestzeit_s,Schichten,Losgroesse,OEE,Prozessmenge,Ausschuss,Kommentar
Sägen,D25,,,25.0,25,55,1,48,0.39,,,
Sägen,D40,,,37.0,37,55,1,48,0.39,,,
Kolbenstangen Drehen,Ø,390,,97.5,,200,2,48,0.63,4,,alle 2 Schichten
Gehäuseboden Fräsen,D25,352,,176.0,,2700,3,48,0.76,2,,alle 3 Schichten
Gehäuseboden Fräsen,D40,410,,205.0,,2700,3,48,0.76,2,,alle 3 Schichten
Waschen,,,,15.0,,0,1,48,,,,-
Messen,KS,173,,180,,,1,5 aus 48,,,,1x/Schicht
Messen,D25,36,,3.8,,,1,5 aus 48,,,,1x/Schicht
Messen,D40,91,,9.5,,,1,5 aus 48,,,,1x/Schicht
Vormontage,,75,,25.0,,,1,3,,,,
Endmontage,D25,180,,60.0,,,1,3,,,,
Endmontage,D40,189,,63.0,,,1,3,,,,
Funktionsprüfung,,132,,44.0,,,1,3,,,10%,2x Scannen/Speichern: 10s
Verpackung,,20,,20.0,,,1,,,,,
